Date,Open,High,Low,Close,Adj Close,Volume
2017-06-20,1690.000000,1694.000000,1679.849976,1686.550049,1664.784180,915066
2017-06-21,1682.599976,1701.250000,1679.599976,1698.699951,1676.777344,852733
2017-06-22,1694.949951,1716.000000,1691.199951,1698.000000,1676.086426,1668865
2017-06-23,1702.000000,1702.750000,1675.199951,1678.650024,1656.986084,1304367
2017-06-27,1689.000000,1695.000000,1656.250000,1667.650024,1646.128052,1500108
2017-06-28,1665.000000,1675.000000,1657.800049,1666.449951,1644.943481,1112259
2017-06-29,1667.000000,1681.900024,1651.099976,1663.050049,1652.495361,2296927
2017-06-30,1653.800049,1660.000000,1643.000000,1652.050049,1641.565186,1082608
2017-07-03,1652.599976,1667.500000,1647.250000,1658.599976,1648.073486,876083
2017-07-04,1660.250000,1666.699951,1652.000000,1653.349976,1642.856812,941520
2017-07-05,1653.099976,1659.500000,1645.000000,1648.750000,1638.286011,1003550
2017-07-06,1652.550049,1663.000000,1651.349976,1658.150024,1647.626465,1142919
2017-07-07,1660.849976,1669.599976,1658.000000,1667.199951,1656.618896,1379349
2017-07-10,1668.000000,1748.000000,1661.050049,1676.349976,1665.710938,327313
2017-07-11,1677.550049,1690.800049,1667.099976,1680.400024,1669.735229,1102570
2017-07-12,1680.000000,1685.000000,1658.550049,1681.250000,1670.579834,1434723
2017-07-13,1688.000000,1693.300049,1679.650024,1683.550049,1672.865234,1120251
2017-07-14,1683.900024,1686.050049,1672.000000,1679.949951,1669.287964,610813
2017-07-17,1682.550049,1687.650024,1677.000000,1682.349976,1671.672852,599835
2017-07-18,1679.699951,1687.849976,1677.349976,1683.550049,1672.865234,580547
2017-07-19,1685.000000,1696.199951,1681.849976,1692.300049,1681.559692,996811
2017-07-20,1693.900024,1715.000000,1688.150024,1710.900024,1700.041626,924619
2017-07-21,1714.099976,1715.250000,1700.000000,1703.050049,1692.241455,968377
2017-07-24,1710.000000,1740.000000,1695.000000,1735.099976,1724.088013,4919544
2017-07-25,1759.000000,1759.000000,1733.050049,1739.650024,1728.609131,2790117
2017-07-26,1742.000000,1755.000000,1732.500000,1747.550049,1736.459106,973836
2017-07-27,1756.000000,1798.800049,1751.550049,1789.650024,1778.291870,4490428
2017-07-28,1772.000000,1786.500000,1761.099976,1778.500000,1767.212646,2313849
2017-07-31,1777.550049,1791.000000,1766.550049,1784.400024,1773.075195,1842285
2017-08-01,1781.849976,1809.150024,1772.199951,1797.199951,1785.793823,2129215
2017-08-02,1807.000000,1807.000000,1782.050049,1791.650024,1780.279175,1849479
2017-08-03,1788.000000,1792.000000,1774.400024,1779.949951,1768.653320,1064196
2017-08-04,1777.000000,1796.750000,1766.150024,1790.250000,1778.888062,886267
2017-08-07,1786.000000,1796.449951,1785.000000,1788.550049,1777.198853,479665
2017-08-08,1792.099976,1797.250000,1766.099976,1777.900024,1766.616455,1008843
2017-08-09,1771.000000,1777.050049,1758.349976,1764.449951,1753.251709,817514
2017-08-10,1760.000000,1766.000000,1752.849976,1760.449951,1749.277100,1947111
2017-08-11,1745.000000,1758.000000,1731.150024,1749.050049,1737.949585,1589959
2017-08-14,1753.000000,1774.949951,1748.000000,1757.199951,1746.047729,894271
2017-08-16,1762.349976,1789.800049,1748.550049,1781.250000,1769.945190,1106708
2017-08-17,1776.250000,1780.949951,1753.750000,1765.400024,1754.195801,1363717
2017-08-18,1760.000000,1761.000000,1743.000000,1752.150024,1741.029907,926866
2017-08-21,1754.000000,1759.000000,1738.199951,1743.199951,1732.136597,1002431
2017-08-22,1751.300049,1754.000000,1736.800049,1747.000000,1735.912476,1652389
2017-08-23,1750.000000,1777.949951,1750.000000,1772.449951,1761.200928,840131
2017-08-24,1774.900024,1774.949951,1759.150024,1762.500000,1751.314087,1969569
2017-08-28,1762.400024,1771.150024,1758.349976,1762.250000,1751.065674,376946
2017-08-29,1759.000000,1759.000000,1738.000000,1746.150024,1735.067993,1229649
2017-08-30,1751.949951,1770.000000,1750.050049,1768.550049,1757.325806,673580
